t0,t1,x,y,z
1682047160,1682047160442,0,0.03813604,3
1682047160,1682047160469,0,0.03813604,3
1682047160,1682047160517,0,0.03813604,3
1682047160,1682047160535,0,0.03813604,3
1682047160,1682047160571,0,0.03813604,3
1682047160,1682047160606,0,0.03813604,3
1682047160,1682047160641,0,0.03813604,3
1682047160,1682047160668,0,0.03813601,3
1682047160,1682047160704,0,0.03813601,3
1682047160,1682047160742,0,0.03813601,3
1682047160,1682047160768,0,0.03813601,3
1682047160,1682047160803,0,0.03813601,3
1682047160,1682047160840,0,0.03813601,3
1682047160,1682047160875,0,0.03813601,3
1682047160,1682047160904,0,0.03813601,3
1682047160,1682047160939,0,0.03813601,3
1682047160,1682047160968,0,0.03813601,3
1682047161,1682047161004,0,0.03813601,3
1682047161,1682047161035,0,0.03813601,3
1682047161,1682047161071,0,0.03813601,3
1682047161,1682047161101,0,0.03813601,3
1682047161,1682047161140,0,0.03813601,3
1682047161,1682047161169,0,0.03813601,3
1682047161,1682047161206,0,0.03813601,3
1682047161,1682047161234,0,0.03813601,3
1682047161,1682047161273,0,0.03813601,3
1682047161,1682047161311,0,0.03813601,3
1682047161,1682047161339,0,0.03813601,3
1682047161,1682047161376,0,0.03813601,3
1682047161,1682047161406,0,0.03813601,3
1682047161,1682047161434,0,0.03813601,3
1682047161,1682047161471,0,0.03813601,3
1682047161,1682047161503,0,0.03813604,2.988665
1682047161,1682047161539,0,0.03813607,2.969387
1682047161,1682047161575,0,0.03813607,2.942798
1682047161,1682047161605,0,0.03813607,2.916187
1682047161,1682047161643,0,0.03813607,2.88138
1682047161,1682047161669,0,0.03813607,2.850596
1682047161,1682047161705,0,0.03813607,2.811293
1682047161,1682047161744,0,0.03813607,2.777949
1682047161,1682047161773,0,0.03813601,2.777949
1682047161,1682047161802,0,0.03813601,2.777949
1682047161,1682047161837,0,0.03813601,2.777949
1682047161,1682047161875,0,0.03813601,2.777949
1682047161,1682047161903,0,0.03813601,2.777949
1682047161,1682047161939,0,0.03813601,2.777949
1682047161,1682047161968,0,0.03813601,2.777949
1682047162,1682047162007,0,0.03813601,2.777949
1682047162,1682047162037,0,0.03813601,2.777949
1682047162,1682047162073,0,0.03813601,2.777949
1682047162,1682047162104,0,0.03813601,2.777949
1682047162,1682047162143,0.005777154,0.03813607,2.777949
1682047162,1682047162171,0.01815091,0.03813607,2.777949
1682047162,1682047162211,0.03686479,0.03813607,2.777949
1682047162,1682047162239,0.06685226,0.03813607,2.777949
1682047162,1682047162269,0.09490035,0.03813607,2.777949
1682047162,1682047162306,0.1313868,0.03813607,2.777949
1682047162,1682047162335,0.16068,0.03813607,2.777949
1682047162,1682047162373,0.206557,0.03813607,2.777949
1682047162,1682047162401,0.239466,0.03813607,2.777949
1682047162,1682047162438,0.281974,0.03813607,2.777949
1682047162,1682047162474,0.3326546,0.03813607,2.777949
1682047162,1682047162505,0.3683411,0.03813607,2.777949
